name,split,vel_loss,vel_loss.stderr,mode,data,vel_speed,vel_speed.stderr,vel_speedp,vel_speedp.stderr,vel_angle,vel_angle.stderr
vel/base,all,2.9197919428017696,0.0396815588014434,train,100,1.2930039173798988,0.029228928174916326,0.063820376886293,0.0013508960077337118,5.016110794182064,0.10013008501974528
vel/base,bike,1.8755011855360921,0.060496426189872964,train,100,1.136783303829283,0.06570734200464816,0.07824038004483984,0.003128285921330142,2.3473548512656515,0.13386178592893358
vel/base,indoor,3.694053761473547,0.057896624411035366,train,100,1.656348514305147,0.04972614094858323,0.07315305526211319,0.002357713521260711,7.278401922580049,0.19358244406062555
vel/base,outdoor,3.2819630508048663,0.09715031051141985,train,100,1.18429851861222,0.04454193062677563,0.045642201910010845,0.0016739478673656123,5.755027284428227,0.23527563451146694
vel/f10,all,3.1997823599033017,0.04165271636289269,full,10,1.6577708783218128,0.03267844708596015,0.07783143458097815,0.001486439137081715,5.151069806683945,0.10079698773929216
vel/f10,bike,2.1418513533641144,0.061438595051555384,full,10,1.390176965814228,0.06912619806033848,0.08762707389370801,0.003404749207528374,2.64132230647656,0.0875729476356283
vel/f10,indoor,4.039114020359912,0.06030673679351061,full,10,1.9974255355992845,0.054964654223393396,0.08755444757196261,0.002549934031605138,7.510249452040268,0.1986094467824716
vel/f10,outdoor,3.530518830814169,0.11051813732877652,full,10,1.6576203689931641,0.05334680487466971,0.0632564322953317,0.0019930224401991533,5.693499836981039,0.2747115636181015
vel/f100,all,2.7035915471832643,0.04475985154662722,full,100,1.2269283195244043,0.02893475101392523,0.05963756697857816,0.0014148729745900185,4.394989655471213,0.11209142778944602
vel/f100,bike,1.78956822153556,0.06296657146986108,full,100,1.0321839271065127,0.06805058344215847,0.0697679856197021,0.003777344394660716,2.0537706311424677,0.07181085836656723
vel/f100,indoor,3.295515277675476,0.06871308575215074,full,100,1.5409079820001206,0.048236677647218035,0.06855882977920993,0.0023379570343861674,6.1410524158430615,0.23794512767027964
vel/f100,outdoor,3.0770170012729565,0.109400771225656,full,100,1.1828649073845932,0.04368269915592778,0.04531072473621324,0.0016432540557678322,5.200218707661569,0.27256351129085976
vel/f20,all,2.785441611865389,0.04040706366763838,full,20,1.2589216962198981,0.028963311075738466,0.06098807115548476,0.001363052766711371,4.640556884139862,0.10225172463191047
vel/f20,bike,1.8751565841923092,0.05847088847537584,full,20,1.09460850611469,0.06485976167680982,0.07269139258085448,0.0034914195762710282,2.324375828755283,0.06668451212423264
vel/f20,indoor,3.439195141663001,0.05955833576303285,full,20,1.5997992215471126,0.047786524136165215,0.07029369639844872,0.002227364452264689,6.547401071809742,0.2025060770463947
vel/f20,outdoor,3.115058412650766,0.1007341420445385,full,20,1.1717561832440537,0.04582833998443488,0.045095361997490126,0.001697441392931881,5.319081138964831,0.24903021702401407
vel/f50,all,2.814998040901725,0.03967710853905358,full,50,1.252209440421146,0.02964200103218917,0.06102458389495805,0.001407852374222324,4.644637587293726,0.10023980433453131
vel/f50,bike,1.8625144943757819,0.06292670233550432,full,50,1.1068151842700593,0.06797514085173628,0.07356285672564719,0.003547120033782102,2.1881121969949593,0.059602463290617046
vel/f50,indoor,3.449757795060067,0.06406160681644904,full,50,1.5932379123910199,0.0491418600540075,0.07034643779783979,0.0023310522067707664,6.453386658583008,0.22234164805217943
vel/f50,outdoor,3.192337903901125,0.08292394441718372,full,50,1.14915262046311,0.04612490496606861,0.044424246244562746,0.0017456080703361452,5.504863061041458,0.20601605730548142
vel/p10,all,3.6019518716093835,0.0,train,10,1.732430558112958,0.0,0.07919588114619855,0.0,6.145173061727187,0.0
vel/p10,bike,2.2921731891286545,0.0,train,10,1.592349660113666,0.0,0.09178311308270878,0.0,2.517637721973612,0.0
vel/p10,indoor,4.366940476790245,0.0,train,10,2.112123400538028,0.0,0.09132075882876782,0.0,8.650219966663615,0.0
vel/p10,outdoor,4.191832924113848,0.0,train,10,1.5994947874646848,0.0,0.060710095450220894,0.0,7.5246500524578925,0.0
vel/p20,all,3.4161360892380923,0.035152316545432,train,20,1.6214269750578059,0.03076867076090271,0.07693705767440037,0.0015805745908103253,5.84721208048308,0.08713425659737713
vel/p20,bike,2.243910632398045,0.05845866665773022,train,20,1.4691229832856225,0.06483109993404637,0.09393999431764423,0.004098643527592242,2.819111115565164,0.0999111279366774
vel/p20,indoor,4.196797852641723,0.04946332797160944,train,20,1.8688058157728265,0.05181764443556011,0.08116394265970593,0.0024317193392206053,8.298791845139888,0.15846067625796256
vel/p20,outdoor,3.8808849870022386,0.08354064254486705,train,20,1.5857656860058065,0.05024306928795735,0.059962822360221234,0.002024751568161155,6.761515466394754,0.20913672063040903
vel/p50,all,2.966789248141102,0.04044033190568064,train,50,1.32901157780005,0.028942436319751914,0.06548990401291775,0.0013880791825143992,5.034159193251091,0.09635053002353376
vel/p50,bike,1.917247223734465,0.05965140744727488,train,50,1.1687539836977052,0.06600357620594872,0.08149533287133427,0.0035661329506760315,2.2329673776333516,0.05509108636081802
vel/p50,indoor,3.762069853512358,0.05631810284847413,train,50,1.6021505825901423,0.04752353959096265,0.07022065588404662,0.002182864080256065,7.5476167804220955,0.18654583709127412
vel/p50,outdoor,3.319511886554663,0.10525351377532181,train,50,1.2830373568579636,0.045110928634370835,0.04901672754471065,0.0016916016053957496,5.7183376075512635,0.26306753820809103
vel/t10,all,7.910664479500997,0.18220469783171236,decoder,10,4.712660624239642,0.1003709642267402,0.19756406223037495,0.0040254466873716485,17.37569372139892,0.7005005879399381
vel/t10,bike,8.481544313868637,0.5441450673093302,decoder,10,5.0147979212107705,0.26571024139023003,0.23573515365208603,0.009857878894261993,22.25748583906441,1.8575445383610558
vel/t10,indoor,6.976425448872267,0.14397123404597492,decoder,10,4.211575780568339,0.1070151714884893,0.17665815484369532,0.004678796030789486,13.247324285125288,0.5511803968386542
vel/t10,outdoor,8.048933893707835,0.3489077372190063,decoder,10,4.79020923346899,0.19149045725829356,0.17945948125288322,0.007139994873590829,16.017523127886097,1.2989497971704242
vel/t100,all,7.589659185987851,0.2228308911204512,decoder,100,3.1823768701567072,0.07192843374774764,0.1385541253558048,0.002986916117172549,18.272689271565707,0.7759797918123253
vel/t100,bike,7.906553300314555,0.5900128272860854,decoder,100,3.0344887660087294,0.1649819563343962,0.15631081713295172,0.00679107168744036,21.57303006904871,1.8935924932303128
vel/t100,indoor,7.0585384282416195,0.2400623567280993,decoder,100,3.469072050631551,0.09455411341291967,0.14745268536027395,0.004168742054261573,15.61296688709468,0.8709433389128118
vel/t100,outdoor,7.674655696793141,0.4078301653312343,decoder,100,3.1171567248639693,0.13599732319802837,0.11787643601675232,0.005101776934115247,17.268114463527127,1.4015397453769591
vel/t20,all,7.2967241806112435,0.22513603789162875,decoder,20,2.6972061394219793,0.043354184465587475,0.1191836326971051,0.001960478829581193,16.931943880374256,0.7451757027529323
vel/t20,bike,7.005783410030841,0.5840429465503073,decoder,20,2.3213540965199644,0.09063711118469821,0.1287185451419062,0.00451133432174098,17.74746871619034,1.798964928988053
vel/t20,indoor,5.889657622129133,0.12852611158456193,decoder,20,3.128156847968203,0.0696240849037436,0.13214591729385652,0.0031371587125789773,11.635729055487323,0.46565983257898197
vel/t20,outdoor,8.465523516220525,0.5534917827423149,decoder,20,2.727341600639801,0.07564677550745397,0.10269460195646563,0.0028981832968392692,19.73648157189646,1.8409713604577504
vel/t50,all,6.207460428299448,0.17243439045773912,decoder,50,2.8790288262828483,0.047752397483278274,0.12545691880135926,0.0021337967703252813,13.567954690315375,0.6036839608431717
vel/t50,bike,7.398526073439483,0.5976796730257399,decoder,50,2.626953801144296,0.11858758899069503,0.13851683199764975,0.0052654732277696075,20.43984650948634,2.0245443776725374
vel/t50,indoor,5.735493438845789,0.12058369219260916,decoder,50,3.293302667062288,0.07161129363054904,0.13809231283680243,0.003189186652250361,10.788374741635929,0.4165097981307623
vel/t50,outdoor,5.523843052231619,0.23344540601640063,decoder,50,2.816819906313813,0.0791293939067268,0.10624062296109206,0.0030318240565030356,9.661016590871835,0.7701133422394716
